id,branch_th,branch_en,type_th,type_en,rank_th,rank_en,abbr_th,abbr_en
RTN-N-01,กองทัพเรือ,Royal Thai Navy,ชั้นประทวน,Non-Commissioned Officer,พันจ่าเอก,Chief Petty Officer 1st Class,พ.จ.อ.,CPO1
RTN-N-02,กองทัพเรือ,Royal Thai Navy,ชั้นประทวน,Non-Commissioned Officer,พันจ่าโท,Chief Petty Officer 2nd Class,พ.จ.ท.,CPO2
RTN-N-03,กองทัพเรือ,Royal Thai Navy,ชั้นประทวน,Non-Commissioned Officer,พันจ่าตรี,Chief Petty Officer 3rd Class,พ.จ.ต.,CPO3
RTN-N-04,กองทัพเรือ,Royal Thai Navy,ชั้นประทวน,Non-Commissioned Officer,จ่าเอก,Petty Officer 1st Class,จ.อ.,PO1
RTN-N-05,กองทัพเรือ,Royal Thai Navy,ชั้นประทวน,Non-Commissioned Officer,จ่าโท,Petty Officer 2nd Class,จ.ท.,PO2
RTN-N-06,กองทัพเรือ,Royal Thai Navy,ชั้นประทวน,Non-Commissioned Officer,จ่าตรี,Petty Officer 3rd Class,จ.ต.,PO3
RTN-N-07,กองทัพเรือ,Royal Thai Navy,ชั้นประทวน,Non-Commissioned Officer,พลทหาร,Seaman,พลฯ,SEA
RTAF-O-01,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,พลอากาศเอก,Air Chief Marshal,พล.อ.อ.,ACM
RTAF-O-02,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,พลอากาศโท,Air Marshal,พล.อ.ท.,AM
RTAF-O-03,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,พลอากาศตรี,Air Vice Marshal,พล.อ.ต.,AVM
RTAF-O-04,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,นาวาอากาศเอก,Group Captain,น.อ.,GP CAPT
RTAF-O-05,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,นาวาอากาศโท,Wing Commander,น.ท.,WG CDR
RTAF-O-06,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,นาวาอากาศตรี,Squadron Leader,น.ต.,SQN LDR
RTAF-O-07,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,เรืออากาศเอก,Flight Lieutenant,ร.อ.,FLT LT
RTAF-O-08,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,เรืออากาศโท,Flying Officer,ร.ท.,FLG OFF
RTAF-O-09,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,เรืออากาศตรี,Pilot Officer,ร.ต.,PLT OFF
RTAF-N-01,กองทัพอากาศ,Royal Thai Air Force,ชั้นประทวน,Non-Commissioned Officer,พันจ่าอากาศเอก,Flight Sergeant 1st Class,พ.จ.อ.,FS1
RTAF-N-02,กองทัพอากาศ,Royal Thai Air Force,ชั้นประทวน,Non-Commissioned Officer,พันจ่าอากาศโท,Flight Sergeant 2nd Class,พ.จ.ท.,FS2
RTAF-N-03,กองทัพอากาศ,Royal Thai Air Force,ชั้นประทวน,Non-Commissioned Officer,พันจ่าอากาศตรี,Flight Sergeant 3rd Class,พ.จ.ต.,FS3
RTAF-N-04,กองทัพอากาศ,Royal Thai Air Force,ชั้นประทวน,Non-Commissioned Officer,จ่าอากาศเอก,Sergeant,จ.อ.,SGT
RTAF-N-05,กองทัพอากาศ,Royal Thai Air Force,ชั้นประทวน,Non-Commissioned Officer,จ่าอากาศโท,Corporal,จ.ท.,CPL
RTAF-N-06,กองทัพอากาศ,Royal Thai Air Force,ชั้นประทวน,Non-Commissioned Officer,จ่าอากาศตรี,Leading Aircraftman,จ.ต.,LAC
RTAF-N-07,กองทัพอากาศ,Royal Thai Air Force,ชั้นประทวน,Non-Commissioned Officer,พลทหาร,Airman,พลฯ,AIR
RTA-AO-04,กองทัพบก,Royal Thai Army,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่พันเอก,Acting Colonel,ว่าที่ พ.อ.,ACT COL
RTA-AO-05,กองทัพบก,Royal Thai Army,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่พันโท,Acting Lieutenant Colonel,ว่าที่ พ.ท.,ACT LTC
RTA-AO-06,กองทัพบก,Royal Thai Army,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่พันตรี,Acting Major,ว่าที่ พ.ต.,ACT MAJ
RTA-AO-07,กองทัพบก,Royal Thai Army,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่ร้อยเอก,Acting Captain,ว่าที่ ร.อ.,ACT CPT
RTA-AO-08,กองทัพบก,Royal Thai Army,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่ร้อยโท,Acting Lieutenant,ว่าที่ ร.ท.,ACT LT
RTA-AO-09,กองทัพบก,Royal Thai Army,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่ร้อยตรี,Acting Second Lieutenant,ว่าที่ ร.ต.,ACT 2LT
RTN-AO-04,กองทัพเรือ,Royal Thai Navy,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่นาวาเอก,Acting Captain,ว่าที่ น.อ.,ACT CAPT
RTN-AO-05,กองทัพเรือ,Royal Thai Navy,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่นาวาโท,Acting Commander,ว่าที่ น.ท.,ACT CDR
RTN-AO-06,กองทัพเรือ,Royal Thai Navy,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่นาวาตรี,Acting Lieutenant Commander,ว่าที่ น.ต.,ACT LCDR
RTN-AO-07,กองทัพเรือ,Royal Thai Navy,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่เรือเอก,Acting Lieutenant,ว่าที่ ร.อ.,ACT LT
RTN-AO-08,กองทัพเรือ,Royal Thai Navy,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่เรือโท,Acting Lieutenant Junior Grade,ว่าที่ ร.ท.,ACT LTJG
RTN-AO-09,กองทัพเรือ,Royal Thai Navy,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่เรือตรี,Acting Sub Lieutenant,ว่าที่ ร.ต.,ACT SUB LT
RTAF-AO-04,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่นาวาอากาศเอก,Acting Group Captain,ว่าที่ น.อ.,ACT GP CAPT
RTAF-AO-05,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่นาวาอากาศโท,Acting Wing Commander,ว่าที่ น.ท.,ACT WG CDR
RTAF-AO-06,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่นาวาอากาศตรี,Acting Squadron Leader,ว่าที่ น.ต.,ACT SQN LDR
RTAF-AO-07,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่เรืออากาศเอก,Acting Flight Lieutenant,ว่าที่ ร.อ.,ACT FLT LT
RTAF-AO-08,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่เรืออากาศโท,Acting Flying Officer,ว่าที่ ร.ท.,ACT FLG OFF
RTAF-AO-09,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่เรืออากาศตรี,Acting Pilot Officer,ว่าที่ ร.ต.,ACT PLT OFF
RTA-O-04-S,กองทัพบก,Royal Thai Army,ชั้นสัญญาบัตร,Commissioned Officer,พันเอก (พิเศษ),Senior Colonel,พ.อ. (พิเศษ),SR COL
RTN-O-04-S,กองทัพเรือ,Royal Thai Navy,ชั้นสัญญาบัตร,Commissioned Officer,นาวาเอก (พิเศษ),Senior Captain,น.อ. (พิเศษ),SR CAPT
RTAF-O-04-S,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,นาวาอากาศเอก (พิเศษ),Senior Group Captain,น.อ. (พิเศษ),SR GP CAPT
RTA-O-01-W,กองทัพบก,Royal Thai Army,ชั้นสัญญาบัตร,Commissioned Officer,พลเอกหญิง,General,พล.อ.หญิง,GEN
RTA-O-02-W,กองทัพบก,Royal Thai Army,ชั้นสัญญาบัตร,Commissioned Officer,พลโทหญิง,Lieutenant General,พล.ท.หญิง,LTG
RTA-O-03-W,กองทัพบก,Royal Thai Army,ชั้นสัญญาบัตร,Commissioned Officer,พลตรีหญิง,Major General,พล.ต.หญิง,MG
RTA-O-04-W,กองทัพบก,Royal Thai Army,ชั้นสัญญาบัตร,Commissioned Officer,พันเอกหญิง,Colonel,พ.อ.หญิง,COL
RTA-O-05-W,กองทัพบก,Royal Thai Army,ชั้นสัญญาบัตร,Commissioned Officer,พันโทหญิง,Lieutenant Colonel,พ.ท.หญิง,LTC
RTA-O-06-W,กองทัพบก,Royal Thai Army,ชั้นสัญญาบัตร,Commissioned Officer,พันตรีหญิง,Major,พ.ต.หญิง,MAJ
RTA-O-08-W,กองทัพบก,Royal Thai Army,ชั้นสัญญาบัตร,Commissioned Officer,ร้อยโทหญิง,Lieutenant,ร.ท.หญิง,LT
RTA-O-09-W,กองทัพบก,Royal Thai Army,ชั้นสัญญาบัตร,Commissioned Officer,ร้อยตรีหญิง,Second Lieutenant,ร.ต.หญิง,2LT
RTA-N-01-W,กองทัพบก,Royal Thai Army,ชั้นประทวน,Non-Commissioned Officer,จ่าสิบเอกหญิง,Sergeant Major 1st Class,จ.ส.อ.หญิง,SM1
RTA-N-02-W,กองทัพบก,Royal Thai Army,ชั้นประทวน,Non-Commissioned Officer,จ่าสิบโทหญิง,Sergeant Major 2nd Class,จ.ส.ท.หญิง,SM2
RTA-N-03-W,กองทัพบก,Royal Thai Army,ชั้นประทวน,Non-Commissioned Officer,จ่าสิบตรีหญิง,Sergeant Major 3rd Class,จ.ส.ต.หญิง,SM3
RTA-N-04-W,กองทัพบก,Royal Thai Army,ชั้นประทวน,Non-Commissioned Officer,สิบเอกหญิง,Sergeant,ส.อ.หญิง,SGT
RTA-N-05-W,กองทัพบก,Royal Thai Army,ชั้นประทวน,Non-Commissioned Officer,สิบโทหญิง,Corporal,ส.ท.หญิง,CPL
RTA-N-06-W,กองทัพบก,Royal Thai Army,ชั้นประทวน,Non-Commissioned Officer,สิบตรีหญิง,Lance Corporal,ส.ต.หญิง,LCPL
RTN-O-01-W,กองทัพเรือ,Royal Thai Navy,ชั้นสัญญาบัตร,Commissioned Officer,พลเรือเอกหญิง,Admiral,พล.ร.อ.หญิง,ADM
RTN-O-02-W,กองทัพเรือ,Royal Thai Navy,ชั้นสัญญาบัตร,Commissioned Officer,พลเรือโทหญิง,Vice Admiral,พล.ร.ท.หญิง,VADM
RTN-O-03-W,กองทัพเรือ,Royal Thai Navy,ชั้นสัญญาบัตร,Commissioned Officer,พลเรือตรีหญิง,Rear Admiral,พล.ร.ต.หญิง,RADM
RTN-O-04-W,กองทัพเรือ,Royal Thai Navy,ชั้นสัญญาบัตร,Commissioned Officer,นาวาเอกหญิง,Captain,น.อ.หญิง,CAPT
RTN-O-05-W,กองทัพเรือ,Royal Thai Navy,ชั้นสัญญาบัตร,Commissioned Officer,นาวาโทหญิง,Commander,น.ท.หญิง,CDR
RTN-O-06-W,กองทัพเรือ,Royal Thai Navy,ชั้นสัญญาบัตร,Commissioned Officer,นาวาตรีหญิง,Lieutenant Commander,น.ต.หญิง,LCDR
RTN-O-08-W,กองทัพเรือ,Royal Thai Navy,ชั้นสัญญาบัตร,Commissioned Officer,เรือโทหญิง,Lieutenant Junior Grade,ร.ท.หญิง,LTJG
RTN-O-09-W,กองทัพเรือ,Royal Thai Navy,ชั้นสัญญาบัตร,Commissioned Officer,เรือตรีหญิง,Sub Lieutenant,ร.ต.หญิง,SUB LT
RTN-N-01-W,กองทัพเรือ,Royal Thai Navy,ชั้นประทวน,Non-Commissioned Officer,พันจ่าเอกหญิง,Chief Petty Officer 1st Class,พ.จ.อ.หญิง,CPO1
RTN-N-02-W,กองทัพเรือ,Royal Thai Navy,ชั้นประทวน,Non-Commissioned Officer,พันจ่าโทหญิง,Chief Petty Officer 2nd Class,พ.จ.ท.หญิง,CPO2
RTN-N-03-W,กองทัพเรือ,Royal Thai Navy,ชั้นประทวน,Non-Commissioned Officer,พันจ่าตรีหญิง,Chief Petty Officer 3rd Class,พ.จ.ต.หญิง,CPO3
RTN-N-04-W,กองทัพเรือ,Royal Thai Navy,ชั้นประทวน,Non-Commissioned Officer,จ่าเอกหญิง,Petty Officer 1st Class,จ.อ.หญิง,PO1
RTN-N-05-W,กองทัพเรือ,Royal Thai Navy,ชั้นประทวน,Non-Commissioned Officer,จ่าโทหญิง,Petty Officer 2nd Class,จ.ท.หญิง,PO2
RTN-N-06-W,กองทัพเรือ,Royal Thai Navy,ชั้นประทวน,Non-Commissioned Officer,จ่าตรีหญิง,Petty Officer 3rd Class,จ.ต.หญิง,PO3
RTAF-O-01-W,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,พลอากาศเอกหญิง,Air Chief Marshal,พล.อ.อ.หญิง,ACM
RTAF-O-02-W,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,พลอากาศโทหญิง,Air Marshal,พล.อ.ท.หญิง,AM
RTAF-O-03-W,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,พลอากาศตรีหญิง,Air Vice Marshal,พล.อ.ต.หญิง,AVM
RTAF-O-04-W,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,นาวาอากาศเอกหญิง,Group Captain,น.อ.หญิง,GP CAPT
RTAF-O-05-W,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,นาวาอากาศโทหญิง,Wing Commander,น.ท.หญิง,WG CDR
RTAF-O-06-W,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,นาวาอากาศตรีหญิง,Squadron Leader,น.ต.หญิง,SQN LDR
RTAF-O-08-W,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,เรืออากาศโทหญิง,Flying Officer,ร.ท.หญิง,FLG OFF
RTAF-O-09-W,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,เรืออากาศตรีหญิง,Pilot Officer,ร.ต.หญิง,PLT OFF
RTAF-N-01-W,กองทัพอากาศ,Royal Thai Air Force,ชั้นประทวน,Non-Commissioned Officer,พันจ่าอากาศเอกหญิง,Flight Sergeant 1st Class,พ.จ.อ.หญิง,FS1
RTAF-N-02-W,กองทัพอากาศ,Royal Thai Air Force,ชั้นประทวน,Non-Commissioned Officer,พันจ่าอากาศโทหญิง,Flight Sergeant 2nd Class,พ.จ.ท.หญิง,FS2
RTAF-N-03-W,กองทัพอากาศ,Royal Thai Air Force,ชั้นประทวน,Non-Commissioned Officer,พันจ่าอากาศตรีหญิง,Flight Sergeant 3rd Class,พ.จ.ต.หญิง,FS3
RTAF-N-04-W,กองทัพอากาศ,Royal Thai Air Force,ชั้นประทวน,Non-Commissioned Officer,จ่าอากาศเอกหญิง,Sergeant,จ.อ.หญิง,SGT
RTAF-N-05-W,กองทัพอากาศ,Royal Thai Air Force,ชั้นประทวน,Non-Commissioned Officer,จ่าอากาศโทหญิง,Corporal,จ.ท.หญิง,CPL
RTAF-N-06-W,กองทัพอากาศ,Royal Thai Air Force,ชั้นประทวน,Non-Commissioned Officer,จ่าอากาศตรีหญิง,Leading Aircraftman,จ.ต.หญิง,LAC
RTA-AO-04-W,กองทัพบก,Royal Thai Army,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่พันเอกหญิง,Acting Colonel,ว่าที่ พ.อ.หญิง,ACT COL
RTA-AO-05-W,กองทัพบก,Royal Thai Army,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่พันโทหญิง,Acting Lieutenant Colonel,ว่าที่ พ.ท.หญิง,ACT LTC
RTA-AO-06-W,กองทัพบก,Royal Thai Army,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่พันตรีหญิง,Acting Major,ว่าที่ พ.ต.หญิง,ACT MAJ
RTA-AO-08-W,กองทัพบก,Royal Thai Army,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่ร้อยโทหญิง,Acting Lieutenant,ว่าที่ ร.ท.หญิง,ACT LT
RTA-AO-09-W,กองทัพบก,Royal Thai Army,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่ร้อยตรีหญิง,Acting Second Lieutenant,ว่าที่ ร.ต.หญิง,ACT 2LT
RTN-AO-04-W,กองทัพเรือ,Royal Thai Navy,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่นาวาเอกหญิง,Acting Captain,ว่าที่ น.อ.หญิง,ACT CAPT
RTN-AO-05-W,กองทัพเรือ,Royal Thai Navy,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่นาวาโทหญิง,Acting Commander,ว่าที่ น.ท.หญิง,ACT CDR
RTN-AO-06-W,กองทัพเรือ,Royal Thai Navy,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่นาวาตรีหญิง,Acting Lieutenant Commander,ว่าที่ น.ต.หญิง,ACT LCDR
RTN-AO-08-W,กองทัพเรือ,Royal Thai Navy,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่เรือโทหญิง,Acting Lieutenant Junior Grade,ว่าที่ ร.ท.หญิง,ACT LTJG
RTN-AO-09-W,กองทัพเรือ,Royal Thai Navy,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่เรือตรีหญิง,Acting Sub Lieutenant,ว่าที่ ร.ต.หญิง,ACT SUB LT
RTAF-AO-04-W,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่นาวาอากาศเอกหญิง,Acting Group Captain,ว่าที่ น.อ.หญิง,ACT GP CAPT
RTAF-AO-05-W,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่นาวาอากาศโทหญิง,Acting Wing Commander,ว่าที่ น.ท.หญิง,ACT WG CDR
RTAF-AO-06-W,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่นาวาอากาศตรีหญิง,Acting Squadron Leader,ว่าที่ น.ต.หญิง,ACT SQN LDR
RTAF-AO-08-W,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่เรืออากาศโทหญิง,Acting Flying Officer,ว่าที่ ร.ท.หญิง,ACT FLG OFF
RTAF-AO-09-W,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,ว่าที่เรืออากาศตรีหญิง,Acting Pilot Officer,ว่าที่ ร.ต.หญิง,ACT PLT OFF
RTA-O-04-S-W,กองทัพบก,Royal Thai Army,ชั้นสัญญาบัตร,Commissioned Officer,พันเอก (พิเศษ)หญิง,Senior Colonel,พ.อ. (พิเศษ)หญิง,SR COL
RTN-O-04-S-W,กองทัพเรือ,Royal Thai Navy,ชั้นสัญญาบัตร,Commissioned Officer,นาวาเอก (พิเศษ)หญิง,Senior Captain,น.อ. (พิเศษ)หญิง,SR CAPT
RTAF-O-04-S-W,กองทัพอากาศ,Royal Thai Air Force,ชั้นสัญญาบัตร,Commissioned Officer,นาวาอากาศเอก (พิเศษ)หญิง,Senior Group Captain,น.อ. (พิเศษ)หญิง,SR GP CAPT
